moby,80
dick,77
or,711
the,14321
whale,955
by,1198
herman,2
melville,2
etymology,1
supplied,12
a,4628
late,30
consumptive,1
usher,1
to,4577
grammar,2
school,9
pale,18
usherthreadbare,1
in,4143
coat,23
heart,84
body,107
and,6362
brain,32
i,1943
see,261
him,1044
now,765
he,1747
was,1635
ever,192
dusting,2
his,2520
old,440
lexicons,1
grammars,2
with,1720
queer,40
handkerchief,5
mockingly,1
embellished,3
all,1475
gay,14
flags,1
of,6580
known,80
nations,13
world,152
loved,3
dust,10
it,2368
somehow,44
mildly,10
reminded,4
mortality,1
while,244
you,861
take,133
hand,195
others,52
teach,5
them,459
what,544
name,67
whalefish,1
is,1706
be,1037
called,112
our,206
tongue,11
leaving,36
out,520
through,229
ignorance,11
letter,12
h,2
which,640
almost,193
alone,41
maketh,5
signification,1
word,71
deliver,3
that,2940
not,1130
true,84
hackluyt,3
sw,1
dan,7
hval,1
this,1363
animal,17
named,11
from,1087
roundness,1
rolling,31
for,1598
hvalt,2
arched,9
vaulted,2
websters,3
dictionary,5
more,504
immediately,17
dut,1
ger,1
wallen,1
as,1720
walwian,1
roll,17
wallow,3
richardsons,1
ketos,1
greek,9
cetus,3
latin,5
whoel,1
anglosaxon,1
danish,4
wal,1
dutch,26
hwal,1
swedish,1
icelandic,3
english,48
baleine,1
french,23
ballena,1
spanish,12
pekeenueenuee,2
fegee,1
erromangoan,1
extracts,6
subsublibrarian,1
will,386
seen,160
mere,41
painstaking,1
burrower,1
grubworm,1
poor,107
devil,43
subsub,2
appears,7
have,765
gone,54
long,315
vaticans,1
streetstalls,1
earth,39
picking,4
up,508
whatever,46
random,5
allusions,7
whales,389
could,214
anyways,2
find,55
any,324
book,57
whatsoever,5
sacred,10
profane,5
therefore,66
must,281
every,230
case,70
at,1310
least,74
higgledypiggledy,1
statements,4
however,89
authentic,3
these,396
veritable,4
gospel,2
cetology,10
far,159
touching,46
ancient,28
authors,4
generally,31
well,224
poets,3
here,288
appearing,2
are,595
solely,6
valuable,11
entertaining,2
affording,2
glancing,13
birds,13
eye,81
view,48
has,291
been,415
promiscuously,1
said,293
thought,148
fancied,8
sung,2
leviathan,90
many,165
generations,6
including,8
own,205
so,1042
fare,9
thee,129
whose,86
commentator,1
am,87
thou,264
belongest,1
hopeless,8
sallow,1
tribe,9
no,571
wine,11
warm,24
whom,44
even,185
sherry,1
would,427
too,175
rosystrong,1
but,1776
one,889
sometimes,87
loves,1
sit,16
feel,57
poordevilish,1
grow,23
convivial,4
upon,565
tears,6
say,226
bluntly,1
full,112
eyes,154
empty,19
glasses,7
altogether,29
unpleasant,3
sadnessgive,1
subsubs,1
how,237
much,221
pains,15
ye,421
please,13
shall,94
go,186
thankless,1
clear,40
hampton,1
court,2
tuileries,3
gulp,2
down,361
your,249
hie,1
aloft,55
royalmast,2
hearts,27
friends,17
who,333
before,295
clearing,5
sevenstoried,1
heavens,21
making,43
refugees,1
longpampered,1
gabriel,19
michael,1
raphael,1
against,133
coming,52
strike,32
splintered,7
togetherthere,1
unsplinterable,1
god,118
created,6
great,303
genesis,2
path,8
shine,3
after,261
think,117
deep,66
hoary,2
job,12
lord,63
had,777
prepared,12
fish,102
swallow,9
jonah,70
there,766
ships,154
hast,28
made,176
play,25
therein,7
psalms,2
day,157
sore,3
strong,35
sword,15
punish,1
piercing,4
serpent,2
crooked,8
slay,4
dragon,6
sea,379
isaiah,2
thing,183
soever,1
besides,50
cometh,1
within,76
chaos,4
monsters,14
mouth,58
beast,4
boat,246
stone,10
goes,54
incontinently,1
foul,11
perisheth,1
bottomless,7
gulf,6
paunch,2
hollands,2
plutarchs,1
morals,1
indian,51
breedeth,1
most,279
biggest,2
fishes,5
among,167
whirlpooles,1
balaene,1
length,77
four,67
acres,3
arpens,1
land,75
pliny,7
scarcely,9
we,440
proceeded,6
two,283
days,84
on,1050
when,596
about,307
sunrise,13
other,399
appeared,10
former,20
monstrous,11
size,12
came,129
towards,114
us,227
openmouthed,3
raising,5
waves,47
sides,27
beating,10
into,523
foam,15
tookes,1
lucian,1
history,23
visited,7
country,22
also,91
catching,7
horsewhales,1
bones,44
very,320
value,6
their,619
teeth,46
brought,38
some,614
king,45
best,65
were,681
catched,1
fortyeight,2
fifty,33
yards,25
six,23
killed,34
sixty,14
octhers,1
verbal,2
narrative,12
taken,51
alfred,2
ad,12
890,1
whereas,18
things,127
whether,88
vessel,45
enter,11
dreadful,6
lost,48
swallowed,13
seagudgeon,1
retires,1
security,3
sleeps,7
montaigne,1
apology,1
raimond,1
sebond,1
let,134
fly,14
nick,1
me,609
if,475
described,7
noble,43
prophet,15
moses,2
life,137
patient,6
rabelais,2
liver,3
cartloads,1
stowes,1
annals,3
seas,87
seethe,3
like,575
boiling,15
pan,3
bacons,1
version,2
bulk,32
ork,1
received,26
nothing,110
certain,89
they,657
exceeding,12
fat,12
insomuch,2
an,589
incredible,9
quantity,13
oil,78
extracted,5
ibid,3
death,77
sovereignest,1
parmacetti,2
inward,5
bruise,1
henry,3
hamlet,1
secure,12
skill,10
leachs,1
art,41
mote,1
availle,1
returne,1
againe,1
wounds,2
worker,1
lowly,8
dart,25
dinting,1
breast,7
bred,5
restless,3
paine,1
wounded,9
shore,23
flies,4
thro,1
maine,1
faerie,1
queen,13
immense,16
motion,16
vast,73
bodies,9
can,193
peaceful,6
calm,39
trouble,9
ocean,67
til,1
boil,2
sir,160
william,4
davenant,1
preface,1
gondibert,1
spermacetti,3
men,225
might,182
justly,3
doubt,32
since,63
learned,25
hosmannus,1
work,60
thirty,25
years,96
saith,5
plainly,39
nescio,1
quid,2
t,8
browne,5
sperma,2
ceti,2
vide,1
v,5
e,2
spencers,1
talus,1
modern,18
flail,1
threatens,1
ruin,5
ponderous,13
tail,76
fixed,37
javlins,1
side,185
wears,7
back,149
grove,3
pikes,2
wallers,1
battle,24
summer,14
islands,17
commonwealth,1
statein,1
civitas,1
artificial,5
man,435
opening,15
sentence,1
hobbess,1
silly,5
mansoul,1
without,153
chewing,1
sprat,1
pilgrims,2
progress,5
works,12
hugest,4
swim,20
stream,11
paradise,5
living,72
creatures,37
stretched,10
promontory,5
swims,8
seems,86
moving,15
gills,4
draws,1
breath,16
spouts,16
mighty,47
water,165
swimming,30
fulllers,1
holy,20
state,22
close,51
behind,49
lie,27
huge,30
attend,10
prey,12
give,82
chance,43
fry,3
gaping,3
jaws,29
mistake,9
way,255
drydens,1
annus,1
mirabilis,1
floating,26
stern,50
ship,383
cut,46
off,206
head,269
tow,10
near,70
come,172
aground,1
twelve,15
thirteen,2
feet,126
thomas,4
edges,4
ten,47
voyages,17
spitzbergen,5
purchas,3
saw,109
sporting,4
wantonness,1
fuzzing,1
pipes,9
vents,1
nature,40
placed,37
shoulders,13
herberts,1
asia,5
africa,8
harris,3
coll,2
such,367
troops,2
forced,18
proceed,14
deal,12
caution,2
fear,33
should,182
run,52
schoutens,1
sixth,2
circumnavigation,3
set,74
sail,80
elbe,1
wind,66
ne,1
jonasinthewhale,1
cant,32
open,68
fable,4
frequently,14
climb,4
masts,25
first,233
discoverer,2
ducat,1
told,46
shetland,2
above,55
barrel,1
herrings,1
belly,9
harpooneers,58
caught,44
once,148
white,248
over,403
voyage,99
greenland,36
1671,2
several,47
coast,36
fife,2
anno,1
1652,1
eighty,3
whalebone,16
kind,26
informed,4
did,251
afford,9
500,2
weight,17
baleen,11
stand,91
gate,5
garden,5
pitferren,1
sibbalds,1
kinross,1
myself,65
agreed,3
try,31
master,20
kill,25
spermaceti,20
never,203
hear,62
sort,152
fierceness,1
swiftness,6
richard,2
straffords,1
bermudas,1
phil,1
trans,1
1668,1
gods,41
voice,46
obey,8
n,1
primer,1
abundance,4
large,78
being,218
those,305
southern,12
may,234
hundred,50
than,307
northward,4
captain,294
cowleys,1
round,242
globe,24
1729,1
frequendy,1
attended,6
insupportable,1
smell,11
bring,18
disorder,1
ulloas,1
south,22
america,12
chosen,3
sylphs,1
special,15
note,5
trust,4
important,19
charge,10
petticoat,1
oft,3
sevenfold,1
fence,2
fail,17
tho,2
stuffed,5
hoops,11
armed,10
ribs,19
rape,1
lock,6
compare,7
animals,5
respect,16
magnitude,21
abode,2
appear,6
contemptible,4
comparison,6
doubtless,13
largest,19
creation,6
goldsmith,2
nat,2
hist,5
write,5
little,249
make,111
speak,48
wales,2
johnson,4
afternoon,10
supposed,15
rock,14
found,115
dead,91
asiatics,2
then,616
towing,14
ashore,34
seemed,281
endeavor,4
conceal,2
themselves,59
order,64
avoid,6
cooks,3
larger,9
seldom,25
venture,5
attack,9
dread,12
afraid,15
mention,15
names,12
carry,25
dung,1
limestone,2
juniperwood,1
articles,10
same,208
boats,179
terrify,3
prevent,6
approach,5
uno,1
von,2
troils,1
letters,11
bankss,1
solanders,1
iceland,3
1772,1
nantuckois,1
active,8
fierce,10
requires,7
address,4
boldness,2
fishermen,25
jeffersons,1
memorial,1
minister,1
1778,2
pray,8
equal,14
edmund,3
burkes,2
reference,14
parliament,3
nantucket,95
whalefishery,4
spaina,1
stranded,10
shores,7
europe,5
burke,2
somewhere,21
tenth,4
branch,4
kings,26
ordinary,19
revenue,2
grounded,3
consideration,8
guarding,1
protecting,1
pirates,11
robbers,1
right,140
royal,25
sturgeon,3
either,37
thrown,24
property,7
blackstone,3
soon,129
sport,3
crews,20
repair,3
rodmond,1
unerring,3
oer,1
suspends,1
barbed,6
steel,30
turn,61
attends,1
falconers,1
shipwreck,2
bright,25
shone,3
roofs,1
domes,1
spires,6
rockets,1
blew,8
self,8
driven,10
hang,5
momentary,2
fire,62
around,38
vault,3
heaven,42
serves,2
high,100
upspouted,1
air,137
express,8
unwieldy,1
joy,16
cowper,2
queens,8
visit,11
london,14
fifteen,11
gallons,5
blood,53
stroke,16
velocity,10
john,12
hunters,27
account,34
dissection,1
small,123
sized,6
aorta,1
bore,17
main,15
pipe,34
waterworks,1
bridge,2
roaring,9
its,462
passage,34
inferior,10
impetus,2
gushing,1
paleys,1
theology,2
mammiferous,1
hind,2
baron,5
cuvier,8
40,2
degrees,5
till,121
covered,9
colnetts,2
purpose,40
extending,8
fishery,60
free,28
element,11
beneath,76
swam,20
floundered,3
dived,11
chace,4
colour,14
form,45
language,5
cannot,69
paint,6
mariner,14
insect,3
millions,7
peopling,1
wave,11
gatherd,1
shoals,6
led,10
mysterious,11
instincts,1
waste,3
trackless,1
region,5
though,364
assaulted,1
voracious,1
enemies,2
sharks,52
armd,1
front,25
jaw,53
swords,2
saws,2
spiral,1
horns,7
hooked,5
fangs,3
montgomerys,1
flood,10
io,2
paean,1
sing,21
finny,2
peoples,6
mightier,2
atlantic,18
fatter,1
flounders,2
polar,13
charles,1
lambs,1
triumph,4
year,23
1690,1
persons,9
hill,12
observing,8
spouting,12
each,128
observed,18
therepointing,1
seais,1
green,48
pasture,4
where,203
childrens,1
grandchildren,1
bread,13
obed,3
macys,1
built,6
cottage,3
susan,1
gateway,2
gothic,4
arch,6
setting,13
hawthornes,1
twice,12
tales,6
she,116
bespeak,1
monument,2
her,323
love,24
pacific,34
less,53
forty,22
ago,31
tis,23
answered,21
tom,3
sprout,2
threw,10
pair,12
pretty,29
rainbows,3
christian,17
wish,14
look,179
hes,95
raal,1
oilbutt,2
fellow,40
coopers,5
pilot,20
papers,10
berlin,1
gazette,1
introduced,6
stage,8
eckermanns,1
conversations,1
goethe,2
my,586
mr,58
matter,84
stove,22
essex,3
attacked,4
finally,27
destroyed,10
sperm,239
owen,6
mate,61
new,84
york,6
